OBJECTID *,Shape *,Lat_Lon,Lat_Lon_X,Lat_Lon_Y,Lat,Lon,Artifbright,Radiance,AvgLux,Visit,People_Initials,Date,Moon,DailyMaxTemp_F,DailyMaxTemp_C,Day_Temp_30min,MeanTemp_10to4,Day_Weather,HOBO_ID,Stick_No,Trap,Day_Start_Time,Trap_Pickup_Time,Day_Total_Skeet,Day_Total_albo,Day_Ae_tris,Day_Ae_vex,Day_Ae_jap,Day_Cq_pert,Day_Cx_sp,Day_An_quad,Day_An_punct,Day_An_sp,SBCC,Notes_Field,Night_Total_Skeet,Night_Total_albo,Night_Ae_albo_F,Night_Ae_albo_M,Night_Ae_cana_F,Night_Ae_cana_M,Night_Ae_hender_F,Night_Ae_hender_M,Night_Ae_japo_F,Night_Ae_japo_M,Night_Ae_tris_F,Night_Ae_tris_M,Night_Ae_trivit_F,Night_Ae_trivit_M,Night_Ae_vex_F,Night_Ae_vex_M,Night_Cq_pert_F,Night_Cq_pert_M,Night_Cx_sp_F,Night_Cx_sp_M,Night_An_quad_F,Night_An_quad_M,Night_An_punct_F,Night_An_punct_M,Night_Ps_howar_F,Night_Ps_howar_M,Unknown,nlcd_2021_impervious_descriptor_l48_20230630,nlcd_2021_impervious_l48_20230630,nlcd_2021_land_cover_l48_20230630
1,Point,"38.59591, -90.60173",-90.60173,38.59591,38.59591,-90.60173,2070,8.5,12.26,1,LJ_LT,7/11/2023,0.34,96,35.6,NA,NA,NA,9548,NA,C,18:49,6:45,6,5,0,0,1,0,0,0,0,0,Y,"I japo (maybe) had white spot on head, few stripes on legs near joints",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,43,22
2,Point,"38.59823, -90.5981",-90.5981,38.59823,38.59823,-90.5981,2320,8.3,0,1,LJ_LT,7/11/2023,0.34,96,35.6,29.77,22.41,NA,7233,NA,B,18:14,6:32,18,18,0,0,0,0,0,0,0,0,Y,<Null>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,30,22
3,Point,"38.65386, -90.19804",-90.19804,38.65386,38.65386,-90.19804,9980,58.3,0.96,1,LJ_LT,7/12/2023,0.25,95,35,29.68,22.6,NA,7233,NA,A,18:03,6:23,39,38,0,1,0,0,0,0,0,0,Y,<Null>,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,77,23
4,Point,"38.6018, -90.25168",-90.25168,38.6018,38.6018,-90.25168,7810,32,0.06,1,LJ_LT,7/12/2023,0.25,95,35,NA,22.2,raining,6317,NA,D,NA,6:55,2,2,0,0,0,0,0,0,0,0,Y,2 females @ 20:10,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,36,22
5,Point,"38.59508, -90.25113",-90.25113,38.59508,38.59508,-90.25113,7800,73.8,0.24,1,LJ_LT,7/12/2023,0.25,95,35,26.94,23.1,raining,6343,NA,C,19:34,6:43,0,0,0,0,0,0,0,0,0,0,N,<Null>,7,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,65,23
6,Point,"38.60329, -90.26452",-90.26452,38.60329,38.60329,-90.26452,7650,53.8,0.26,1,LJ_LT,7/12/2023,0.25,95,35,NA,21.82,raining,6318,NA,E,NA,7:00,3,3,0,0,0,0,0,0,0,0,Y,<Null>,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,22,52,23
7,Point,"38.61176, -90.31839",-90.31839,38.61176,38.61176,-90.31839,6480,48.7,0.04,1,LJ_LT,7/17/2023,0,90,32.2,30.5,21.5,overcast,6343,8,C,18:28,6:54,42,40,0,1,1,0,0,0,0,0,Y,M+F,11,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,24,57,23
8,Point,"38.60555, -90.3557",-90.3557,38.60555,38.60555,-90.3557,4910,33.6,0.08,1,LJ_LT,7/17/2023,0,90,32.2,25,20.89,sunny,8327,7,D,19:06,6:39,42,41,0,0,1,0,0,0,0,0,Y,M+F,12,5,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,24,46,22
9,Point,"38.64281, -90.35817",-90.35817,38.64281,38.64281,-90.35817,5270,17.2,0.06,1,LJ_LT,7/17/2023,0,90,32.2,30,23.5,overcast,6319,10,B,17:54,5:53,10,10,0,0,0,0,0,0,0,0,Y,M+F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,30,22
10,Point,"38.62491, -90.38063",-90.38063,38.62491,38.62491,-90.38063,3810,9.2,0,1,LJ_LT,7/17/2023,0,90,32.2,24.5,21.79,sunny,NA,9,E,19:59,6:23,3,2,0,1,0,0,0,0,0,0,Y,M+F,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,25,22
11,Point,"38.64172, -90.39792",-90.39792,38.64172,38.64172,-90.39792,3680,16.8,0,1,LJ_LT,7/17/2023,0,90,32.2,27.11,21.13,overcast,4456,NA,A,17:24,6:05,13,13,0,0,0,0,0,0,0,0,Y,M+F,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,22
12,Point,"38.64634, -90.26334",-90.26334,38.64634,38.64634,-90.26334,9060,91.7,0,1,LJ_EP_KW,7/18/2023,0.01,84,28.9,26.68,23.11,sunny,6343,NA,C,18:34,7:11,11,11,0,0,0,0,0,0,0,0,Y,M+F,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,28,22
13,Point,"38.64735, -90.25915",-90.25915,38.64735,38.64735,-90.25915,9060,90.6,8.48,1,LJ_EP_KW,7/18/2023,0.01,84,28.9,33.25,24.83,sunny,4456,NA,A,17:46,7:02,4,4,0,0,0,0,0,0,0,0,N,F,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,86,24
14,Point,"38.64683, -90.26342",-90.26342,38.64683,38.64683,-90.26342,9060,91.7,0,1,LJ_EP_KW,7/18/2023,0.01,84,28.9,27.5,24.61,sunny,8327,NA,D,18:54,7:17,3,3,0,0,0,0,0,0,0,0,Y,"M+F, huge! Katie impressed by size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,60,23
15,Point,"38.64649, -90.26176",-90.26176,38.64649,38.64649,-90.26176,9060,90.6,0,1,LJ_EP_KW,7/18/2023,0.01,84,28.9,27.2,23.24,sunny,6318,NA,B,18:07,7:40,3,3,0,0,0,0,0,0,0,0,Y,2F + 1M,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,24,51,23
16,Point,"38.64174, -90.25992",-90.25992,38.64174,38.64174,-90.25992,10300,151.1,1.14,1,LJ_EP_KW,7/18/2023,0.01,84,28.9,25.44,23.21,sunny,6319,NA,E,19:24,7:32,1,1,0,0,0,0,0,0,0,0,N,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,50,23
17,Point,"38.62949, -90.29251",-90.29251,38.62949,38.62949,-90.29251,7770,54.5,0.14,1,LJ_KD,7/19/2023,0.03,87,30.6,28.1,25.05,overcast,6318,NA,B,17:48,6:42,31,31,0,0,0,0,0,0,0,0,Y,M+F,7,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,76,23
18,Point,"38.6108, -90.25575",-90.25575,38.6108,38.6108,-90.25575,7940,38.2,0.34,1,LJ_KD,7/19/2023,0.03,87,30.6,26.72,24.63,overcast,8327,NA,D,19:01,6:19,22,22,0,0,0,0,0,0,0,0,Y,M+F,8,6,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,22,45,22
19,Point,"38.60546, -90.34378",-90.34378,38.60546,38.60546,-90.34378,5250,27.2,0,1,LJ_KD,7/19/2023,0.03,87,30.6,27.5,25.2,overcast,6319,7,E,19:39,7:10,2,2,0,0,0,0,0,0,0,0,N,F,4,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,27,22
20,Point,"38.62458, -90.3037",-90.3037,38.62458,38.62458,-90.3037,7280,48.2,0.14,1,LJ_KD,7/19/2023,0.03,87,30.6,28.83,24.58,overcast,4456,NA,A,17:20,6:51,5,5,0,0,0,0,0,0,0,0,Y,M+F,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,58,23
21,Point,"38.62639, -90.28543",-90.28543,38.62639,38.62639,-90.28543,8270,112.7,0.12,1,LJ_KD,7/19/2023,0.03,87,30.6,27.24,25.5,overcast,6343,NA,C,18:26,6:34,12,12,0,0,0,0,0,0,0,0,Y,M+F,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,50,23
22,Point,"38.7532, -90.81357",-90.81357,38.7532,38.7532,-90.81357,1130,11.8,0,1,EU,7/20/2023,0.07,93,33.9,24.79,20.7,sunny,6319,NA,E,21:46,6:40,1,0,0,0,0,0,0,0,0,1,N,<Null>,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,22,54,23
23,Point,"38.43289, -90.44601",-90.44601,38.43289,38.43289,-90.44601,1190,2.4,0.02,1,LJ_EU,7/20/2023,0.07,93,33.9,28.01,22.48,sunny,6318,NA,B,18:44,8:12,4,4,0,0,0,0,0,0,0,0,Y,lost suction and skeets,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41
24,Point,"38.37769, -90.41465",-90.41465,38.37769,38.37769,-90.41465,1020,3.1,0,1,LJ_EU,7/20/2023,0.07,93,33.9,26.64,20.26,sunny,6343,NA,C,19:27,8:30,3,3,0,0,0,0,0,0,0,0,Y,M+F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,57,23
25,Point,"38.52647, -90.56039",-90.56039,38.52647,38.52647,-90.56039,1120,1.3,0,1,LJ_EU,7/20/2023,0.07,93,33.9,26.9,23.68,sunny,8327,NA,D,20:18,7:20,4,4,0,0,0,0,0,0,0,0,Y,<Null>,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
26,Point,"38.5387, -90.53078",-90.53078,38.5387,38.5387,-90.53078,1700,1.7,0,1,LJ_EU,7/20/2023,0.07,93,33.9,36.46,20.56,sunny,4456,NA,A,17:11,9:10,1,1,0,0,0,0,0,0,0,0,Y,vert hot! Trap next to breeding site,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,43
27,Point,"38.61113, -90.27887",-90.27887,38.61113,38.61113,-90.27887,7570,56.1,2.8,1,LJ_TR,7/24/2023,0.37,93,33.9,34.15,23.5,cloudy,4456,7,A,17:17,6:15,2,2,0,0,0,0,0,0,0,0,Y,<Null>,13,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,66,23
28,Point,"38.60357, -90.26492",-90.26492,38.60357,38.60357,-90.26492,7650,53.8,0,1,LJ_TR,7/24/2023,0.37,93,33.9,30.5,26.83,cloudy,8327,8,D,18:38,6:48,48,48,0,0,0,0,0,0,0,0,Y,so many,92,89,31,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,41,22
29,Point,"38.5972, -90.27284",-90.27284,38.5972,38.5972,-90.27284,7710,75.6,0.02,1,LJ_TR,7/24/2023,0.37,93,33.9,30,23.38,cloudy,6343,1,C,18:11,6:38,18,17,0,0,0,0,0,0,0,1,Y,<Null>,19,16,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,77,23
30,Point,"38.59572, -90.2895",-90.2895,38.59572,38.59572,-90.2895,6920,63.5,1.36,1,LJ_TR,7/24/2023,0.37,93,33.9,29.81,23.34,cloudy,6318,10,B,17:42,6:27,14,14,0,0,0,0,0,0,0,0,Y,way lots of tigers,10,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,69,23
31,Point,"38.60209, -90.25852",-90.25852,38.60209,38.60209,-90.25852,7650,42.4,0.04,1,LJ_TR,7/24/2023,0.37,93,33.9,29.5,25.46,cloudy,6319,9,E,19:01,6:56,33,33,0,0,0,0,0,0,0,0,Y,so many; HOBO power reset,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,56,23
32,Point,"38.61249, -90.25454",-90.25454,38.61249,38.61249,-90.25454,7940,38.2,0.92,1,LJ_TR,7/25/2023,0.46,98,36.7,37.5,30.88,sunny,6343,1,C,18:22,6:21,14,14,0,0,0,0,0,0,0,0,Y,<Null>,27,26,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,54,23
33,Point,"38.63979, -90.25516",-90.25516,38.63979,38.63979,-90.25516,10500,150.6,1.2,1,LJ_TR,7/25/2023,0.46,98,36.7,35,29.78,cloudy,8327,8,D,18:52,6:01,3,3,0,0,0,0,0,0,0,0,Y,several flying in garden but not hostseeking; not loads like other houses,23,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,60,23
34,Point,"38.64851, -90.28146",-90.28146,38.64851,38.64851,-90.28146,8450,93.9,0.16,1,LJ_TR,7/25/2023,0.46,98,36.7,35.6,30.08,sunny,4456,7,A,17:21,6:50,1,1,0,0,0,0,0,0,0,0,N,<Null>,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,24,93,24
35,Point,"38.61469, -90.24233",-90.24233,38.61469,38.61469,-90.24233,9240,67.2,0.06,1,LJ_TR,7/25/2023,0.46,98,36.7,30,25.83,sunny,6318,10,B,17:58,6:29,17,17,0,0,0,0,0,0,0,0,Y,so many; several males,31,29,16,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,22,58,23
36,Point,"38.63945, -90.25653",-90.25653,38.63945,38.63945,-90.25653,10500,150.6,0.02,1,LJ_TR,7/25/2023,0.46,98,36.7,32.5,29.1,cloudy,6319,9,E,19:19,6:06,57,56,0,1,0,0,0,0,0,0,Y,<Null>,49,47,31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,39,22
37,Point,"38.65192, -90.3011",-90.3011,38.65192,38.65192,-90.3011,7370,84,0.02,1,LJ_KD,7/26/2023,0.56,95,35,30,27.35,sunny,6343,1,C,18:19,6:50,18,18,0,0,0,0,0,0,0,0,N,<Null>,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,35,22
38,Point,"38.63951, -90.30644",-90.30644,38.63951,38.63951,-90.30644,7200,46.5,0.38,1,LJ_KD,7/26/2023,0.56,95,35,28,26.17,sunny,8327,8,D,18:43,7:05,29,28,0,1,0,0,0,0,0,0,Y,<Null>,24,24,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,55,23
39,Point,"38.6509, -90.30732",-90.30732,38.6509,38.6509,-90.30732,7370,82.3,0,1,LJ_KD,7/26/2023,0.56,95,35,29,26.67,sunny,4456,7,A,17:25,6:30,7,7,0,0,0,0,0,0,0,0,N,<Null>,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,37,22
40,Point,"38.65211, -90.30701",-90.30701,38.65211,38.65211,-90.30701,7370,82.3,0,1,LJ_KD,7/26/2023,0.56,95,35,32,28.34,sunny,6318,10,B,17:43,6:43,22,22,0,0,0,0,0,0,0,0,Y,<Null>,22,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,22,36,22
41,Point,"38.65606, -90.38944",-90.38944,38.65606,38.65606,-90.38944,3790,14.9,0.08,1,LJ_LT,7/27/2023,0.67,100,37.8,32.5,26.42,sunny,6343,10,C,18:27,7:30,0,0,0,0,0,0,0,0,0,0,Y,"one or two; very Hot; error with stick number written, 10 written twice for two different sites",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,24,60,23
42,Point,"38.67022, -90.36626",-90.36626,38.67022,38.67022,-90.36626,4690,20.3,0,1,LJ_LT,7/27/2023,0.67,100,37.8,33,27.58,sunny,6318,3,B,17:59,7:20,2,2,0,0,0,0,0,0,0,0,Y,<Null>,17,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,21,45,22
43,Point,"38.65368, -90.41469",-90.41469,38.65368,38.65368,-90.41469,3560,12.8,0,1,LJ_LT,7/27/2023,0.67,100,37.8,32.5,26.42,sunny,8327,10,D,18:54,7:46,24,24,0,0,0,0,0,0,0,0,Y,"error with stick number written, 10 written twice for two different sites",9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,37,22
44,Point,"38.71068, -90.4186",-90.4186,38.71068,38.71068,-90.4186,4890,45.1,0.16,1,LJ_LT,7/27/2023,0.67,100,37.8,36,29.94,sunny,4456,7,A,17:26,7:00,20,20,0,0,0,0,0,0,0,0,Y,<Null>,20,12,8,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,24,46,22
45,Point,"38.65207, -90.42964",-90.42964,38.65207,38.65207,-90.42964,3350,9.2,0,1,LJ_LT,7/27/2023,0.67,100,37.8,31,27.86,sunny,6319,9,E,19:13,7:56,12,12,0,0,0,0,0,0,0,0,Y,did not get HOBO data,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,49,22
46,Point,"38.65282, -90.31912",-90.31912,38.65282,38.65282,-90.31912,6500,36.1,0.04,1,LJ_KD,7/31/2023,0.98,84,28.9,26,23.79,light_rain,4456,7,A,17:11,6:24,15,15,0,0,0,0,0,0,0,0,Y,"tiny stem caught on funnel, leaving it not completely flush but the gap was small and probably didn't affect who could get out",6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,44,22
47,Point,"38.65978, -90.33032",-90.33032,38.65978,38.65978,-90.33032,5870,23.8,0,1,LJ_KD,7/31/2023,0.98,84,28.9,26,21.61,overcast,8327,8,D,18:27,6:50,16,16,0,0,0,0,0,0,0,0,Y,<Null>,20,16,14,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,22,53,23
48,Point,"38.66039, -90.33202",-90.33202,38.66039,38.66039,-90.33202,5870,23.8,0,1,LJ_KD,7/31/2023,0.98,84,28.9,25.5,22.91,overcast,6319,9,E,18:49,6:55,20,20,0,0,0,0,0,0,0,0,Y,<Null>,12,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,24,39,22
49,Point,"38.65652, -90.32025",-90.32025,38.65652,38.65652,-90.32025,6180,26,0,1,LJ_KD,7/31/2023,0.98,84,28.9,25.5,23.5,light_rain,6318,3,B,17:34,6:32,15,15,0,0,0,0,0,0,0,0,Y,<Null>,7,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24,35,22
50,Point,"38.65916, -90.31697",-90.31697,38.65916,38.65916,-90.31697,6180,27.7,0,1,LJ_KD,7/31/2023,0.98,84,28.9,26,21.13,overcast,6343,10,C,18:03,6:41,27,27,0,0,0,0,0,0,0,0,Y,<Null>,10,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,24,62,23
51,Point,"38.58447, -90.39409",-90.39409,38.58447,38.58447,-90.39409,3720,18.2,0,1,LJ_AW,8/1/2023,1,86,30,35.82,23.51,sunny,6318,3,B,17:29,6:13,73,73,0,0,0,0,0,0,0,0,Y,so many!,42,32,15,17,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,3,0,0,0,0,24,29,22
52,Point,"38.62262, -90.46147",-90.46147,38.62262,38.62262,-90.46147,3030,17,0,1,LJ_AW,8/1/2023,1,86,30,25,23.04,sunny,8327,8,D,19:13,6:43,16,15,0,1,0,0,0,0,0,0,Y,set up at side of house and caught for 5 minutes and caugh 3 albo females ,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,37,22
53,Point,"38.55025, -90.39806",-90.39806,38.55025,38.55025,-90.39806,3560,38.7,0,1,LJ_AW,8/1/2023,1,86,30,24.5,22.96,sunny,6319,9,E,19:48,5:05,27,27,0,0,0,0,0,0,0,0,Y,so many; issue with HOBO 6319,6,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,24,33,22
54,Point,"38.57976, -90.3864",-90.3864,38.57976,38.57976,-90.3864,3670,18.3,0.4,1,LJ_AW,8/1/2023,1,86,30,36,23.81,sunny,4456,7,A,17:00,6:03,24,24,0,0,0,0,0,0,0,0,Y,<Null>,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,21
55,Point,"38.57916, -90.42449",-90.42449,38.57916,38.57916,-90.42449,3560,17.1,0.04,1,LJ_AW,8/1/2023,1,86,30,27,22.96,sunny,6343,10,C,18:05,6:24,9,9,0,0,0,0,0,0,0,0,Y,<Null>,4,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,48,22
56,Point,"38.62949, -90.29251",-90.29251,38.62949,38.62949,-90.29251,7770,54.5,0.14,2,LJ_TR,8/2/2023,0.99,83,28.3,25,23.75,cloudy_rained,6319,3,C,18:21,6:48,60,59,0,1,0,0,0,0,0,0,Y,<Null>,9,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,76,23
